revenue,marketcap,earnings,operating-margin,employees
574.78,1966.0,40.73,-1.15%,1500.0
198.32,64.75,6.16,2.55%,826.608
152.48,42.5,4.91,2.55%,450.679
61.85,170.42,8.69,3.08%,288.3
59.64,21.53,3.17,4.87%,232.527
130.8,187.12,17.3,16.82%,224.955
227.58,3179.0,101.21,42.14%,221.0
307.39,1991.0,86.02,25.49%,182.381
30.04,29.02,2.86,9.36%,180.775
52.51,338.72,14.66,18.02%,164.0
385.7,2702.0,121.41,30.20%,161.0
39.69,129.97,5.97,13.81%,135.0
88.42,88.53,5.38,5.44%,133.0
96.77,556.06,10.12,14.35%,127.855
4.47,5.72,0.66,10.64%,127.0
54.22,160.18,1.64,12.31%,120.3
24.33,20.16,1.45,5.84%,118.527
88.97,103.81,7.96,9.51%,113.0
33.86,216.71,7.21,17.72%,106.495
85.0,376.92,35.41,40.35%,105.309
25.01,16.75,-1.79,9.06%,101.351
19.26,24.16,1.62,9.73%,93.289
37.29,81.23,1.69,,91.932
16.02,45.3,2.55,14.45%,90.0
14.98,43.32,2.13,13.06%,87.0
24.16,18.97,2.02,9.12%,86.896
57.23,200.55,16.48,28.07%,84.9
55.66,13.18,1.6,,77.0
11.22,34.89,1.92,17.13%,73.164
2.7,2.38,0.2,7.69%,73.045
4.61,5.09,0.29,16.24%,71.034
34.85,290.17,4.95,3.15%,70.843
12.25,41.59,-5.92,-159.16%,69.0
134.9,1333.0,47.87,23.79%,66.185
12.89,31.67,0.82,-4.83%,63.8
17.67,100.4,4.6,25.80%,63.0
24.38,34.18,0.63,2.36%,63.0
28.08,23.31,2.09,4.22%,60.2
3.72,0.69,-0.34,-9.04%,59.0
17.41,45.3,4.15,24.74%,58.59
53.11,28.6,3.7,7.05%,58.0
4.69,15.41,0.53,13.83%,54.6
17.28,38.43,4.81,30.04%,51.37
36.29,195.44,8.73,33.93%,50.0
6.41,4.96,0.37,,49.69
0.42,9.32,-0.13,-16.36%,47.208
15.43,17.09,0.61,7.62%,47.0
8.4,57.03,0.42,,45.0
18.31,141.2,-3.68,31.11%,43.0
18.98,36.08,4.01,8.17%,41.3
19.09,90.42,3.89,17.37%,41.0
14.47,76.42,1.55,10.68%,40.548
29.9,391.61,10.02,34.36%,39.85
13.27,62.66,3.79,28.71%,34.5
26.48,176.96,8.36,29.47%,34.3
8.45,3.3,0.41,4.06%,34.0
64.04,11.59,1.85,7.15%,33.716
6.47,18.6,-0.64,-6.71%,33.4
37.41,50.73,3.16,4.65%,33.038
17.51,155.8,7.77,50.08%,33.0
3.13,1.35,0.32,10.75%,32.75
5.53,32.92,1.96,13.14%,32.202
14.58,12.22,-0.95,-10.66%,32.079
37.28,158.57,2.32,-1.09%,32.0
6.5,8.24,0.5,10.26%,31.3
14.43,63.38,3.58,25.13%,31.119
8.25,30.34,2.53,28.71%,31.0
14.55,1.46,-10.24,-6.72%,30.0
4.94,10.17,0.66,13.86%,30.0
29.77,70.52,5.41,17.73%,29.9
0.64,3.64,0.03795,7.51%,29.346
19.93,216.95,6.27,34.12%,29.239
3.34,9.24,0.5,23.74%,29.235
5.5,15.2,1.33,23.76%,27.6
2.09,8.64,0.21,11.22%,27.505
9.65,31.76,1.83,16.39%,27.0
60.92,2265.0,34.07,18.73%,26.196
11.56,98.5,3.32,25.79%,26.0
4.62,7.77,-0.37,-1.51%,26.0
1.38,5.29,-0.11,4.46%,25.696
15.49,27.22,0.26,,25.445
22.68,275.55,0.59,5.01%,25.0
6.46,56.07,1.51,23.04%,24.753
3.09,2.45,0.23,9.15%,24.539
5.69,9.61,0.68,14.76%,24.05
3.4,3.02,0.49,16.96%,23.9
3.33,5.67,0.57,20.74%,23.743
21.36,124.3,5.48,28.69%,23.45
3.86,24.44,0.65,16.04%,22.68
8.54,48.24,2.96,35.50%,22.6
6.32,21.71,1.39,,21.619
3.55,1.25,-0.72,-1.29%,21.0
10.34,31.02,3.03,30.47%,20.996
6.17,35.95,1.43,19.47%,20.921
24.55,23.66,-0.05641,-29.59%,20.87
1.97,2.87,-0.66,9.09%,20.665
8.97,158.12,1.03,6.99%,20.433
6.88,2.14,-0.028,-3.32%,20.1
38.86,640.66,14.74,46.04%,20.0
7.57,20.72,2.76,38.06%,20.0
357.77,87.9,13.83,1.80%,219.0
144.59,15.59,-13.67,3.00%,206.0
93.02,358.55,16.97,22.88%,152.7
61.71,7.74,2.38,,114.766
71.88,198.61,16.74,25.80%,103.605
51.01,192.83,9.43,17.27%,101.703
51.73,28.78,0.61,9.20%,100.873
50.35,119.5,8.39,18.21%,91.573
45.81,215.32,8.49,5.63%,83.5
58.49,149.15,3.26,34.61%,83.0
37.84,83.96,7.53,22.54%,69.4
60.11,319.49,3.03,27.73%,67.0
32.58,3.86,1.26,,67.0
22.77,71.84,3.77,17.82%,63.297
33.81,559.5,15.42,39.02%,61.412
12.9,17.37,0.77,10.63%,60.0
14.94,21.45,-0.047,-19.01%,60.0
54.31,296.61,6.25,18.65%,50.0
29.34,42.61,2.28,14.33%,49.095
5.68,17.35,1.69,,43.8
8.12,25.77,0.62,7.18%,41.15
34.12,722.19,6.55,24.66%,39.0
5.64,44.32,1.27,21.62%,38.0
15.42,13.74,0.77,17.29%,38.0
45.0,99.55,8.44,19.24%,34.3
15.84,15.54,0.4,-20.53%,34.004
14.19,22.61,1.05,12.03%,33.482
13.17,88.77,2.66,28.87%,32.065
3.85,6.54,2.06,,26.272
3.02,13.55,0.63,19.66%,25.927
3.28,12.14,0.85,24.69%,25.863
28.19,144.69,7.85,34.59%,25.2
6.84,5.46,0.36,11.25%,24.0
2.24,11.61,0.46,16.11%,23.0
2.31,8.86,0.29,9.13%,20.933
3.17,38.86,0.6,18.47%,20.636
8.22,3.27,-0.41,0.07%,19.9
2.22,3.69,0.18,,18.447
6.73,44.19,1.56,23.27%,18.0
4.09,10.28,-1.21,4.60%,18.0
10.58,57.95,1.38,11.08%,17.435
27.11,85.6,6.85,26.84%,17.0
1.5,6.79,0.23,13.48%,16.966
0.89,12.03,0.23,30.49%,16.543
0.86,4.07,0.12,13.51%,16.167
3.33,7.65,0.49,11.18%,15.431
